AF,AS,703008,1640352,2343361
AF,EU,799646,1865841,2665488
AF,NA,27919,65144,93064
AF,OC,7437,17354,24792
AF,SA,12320,28747,41068
AS,AF,706608,1648752,2355360
AS,EU,2811185,6559433,9370619
AS,NA,838492,1956481,2794974
AS,OC,595318,1389075,1984394
AS,SA,18586,43369,61956
EU,AF,790422,1844320,2634743
EU,AS,2805749,6546748,9352498
EU,NA,1510855,3525328,5036184
EU,SA,219577,512348,731926
NA,AF,33081,77190,110272
NA,AS,839293,1958350,2797644
NA,EU,1501907,3504451,5006359
NA,OC,98614,230101,328716
NA,SA,533932,1245843,1779776
OC,AF,7088,16539,23628
OC,AS,594528,1387232,1981760
OC,NA,97450,227383,324834
OC,SA,10395,24256,34652
SA,AF,12306,28714,41021
SA,AS,18586,43369,61956
SA,EU,217833,508279,726113
SA,NA,533662,1245212,1778875
SA,OC,10395,24256,34652
